Taxon Name,Taxonomic Serial Number (TSN),Parent Taxonomic Serial Number (TSN),Taxon Group,Taxon Level,AphiaID,NADED ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon Citations,Preferred Source,Former or Invalid Name,Common Name,Alternate Name,NODC Code,Xerces Code,Active
"Spionidae","66781",""," Invertebrates","Family","913","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","","","WoRMS (2008). Spionidae Grube, 1850. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=913 on 2016-05-10","WORMS","","","","","","Y"
"Spiophanes","66896","66781"," Invertebrates","Genus","129626","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","","Read, G.; Bellan, G. (2012). Spiophanes Grube, 1860. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=129626 on 2016-05-10","WORMS","","",""," 50014310","","Y"
"Spiophanes berkeleyorum","66901","66896"," Invertebrates","Species","334829","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","berkeleyorum","WoRMS (2015). Spiophanes berkeleyorum. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=334829 on 2016-05-10","WORMS","","","","","","Y"
"Spiophanes duplex","",""," Invertebrates","Species","334830","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","duplex","WoRMS (2008). Spiophanes duplex (Chamberlin, 1919). In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=334830 on 2016-05-10","WORMS","","","","","","Y"
"Spiophanes norrisi","",""," Invertebrates","Species","567182","","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","norrisi","Read, G. (2015). Spiophanes norrisi Meißner & Blank, 2009. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=567182 on 2016-05-10","WORMS","","","","","","Y"
"Spiromoelleria quadrae","568307",""," Invertebrates","Species","528087","","Animalia","Mollusca","Gastropoda","Not assigned","Colloniidae","Spiromoelleria","quadrae","Rosenberg, G. (2015). Spiromoelleria quadrae. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=528087 on 2016-05-10","WORMS","","","","","","Y"
"Spirontocaris","96756",""," Invertebrates","Genus","106994","","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","","Fransen, C.; Türkay, M. (2011). Spirontocaris. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=106994 on 2016-05-10","WORMS","","",""," 61791602","","Y"
"Spirontocaris arctuata","96770",""," Invertebrates","Species","254485","","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Spirontocaris","arcuata","De Grave, S. (2015). Spirontocaris arcuata. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=254485 on 2016-05-10","WORMS","","","","","","Y"
"Spirontocaris holmesi","96773",""," Invertebrates","Species","515330","","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","holmesi","De Grave, S. (2015). Spirontocaris holmesi. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=515330 on 2016-05-10","WORMS","","","","","","Y"
"Spirontocaris lamellicornis","96758",""," Invertebrates","Species","515332","","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Spirontocaris","lamellicornis","De Grave, S. (2015). Spirontocaris lamellicornis. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=515332 on 2016-05-10","WoRMS",""," Dana's blade shrimp","","","","Y"
"Spirontocaris ochotensis","96762",""," Invertebrates","Species","515334","","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","ochotensis","De Grave, S. (2015). Spirontocaris ochotensis. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=515334 on 2016-05-10","WORMS","","",""," 6179160206","","Y"
"Spirontocaris prionota","96757",""," Invertebrates","Species","515336","","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","prionota","De Grave, S. (2015). Spirontocaris prionota. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=515336 on 2016-05-10","WORMS","","",""," 6179160201","","Y"
